CHR	STRAND	TSS	GENE
10	+	115469103	CASP7
10	+	115511212	PLEKHS1
10	+	115524577	PLEKHS1
10	-	115537813	MIR4483
10	-	115613975	DCLRE1A
10	-	115614163	DCLRE1A
10	+	115614390	NHLRC2
10	-	11574274	USP6NL
10	+	115803805	ADRB1
10	-	115933938	MIR2110
10	-	115934364	C10orf118
10	+	115939028	TDRD1
10	+	115999012	VWA2
10	-	116164537	AFAP1L2
10	-	116286685	ABLIM1
10	-	116418058	ABLIM1
10	-	116444414	ABLIM1
10	-	11653679	USP6NL
10	+	116581502	FAM160B1
10	+	116697951	TRUB1
10	+	116853123	ATRNL1
10	+	11784355	ECHDC3
10	-	118031819	GFRA1
10	-	118032796	GFRA1
10	-	118033126	GFRA1
10	+	118083939	CCDC172
10	+	118187423	PNLIPRP3
10	+	118305427	PNLIP
10	+	118350489	PNLIPRP1
10	+	118380464	PNLIPRP2
10	-	118429481	C10orf82
10	-	118502085	HSPA12A
10	+	118609022	ENO4
10	+	11865396	PROSER2
10	-	118765088	KIAA1598
10	-	118886097	KIAA1598
10	-	118897812	VAX1
10	-	118927285	MIR3663
10	+	118956999	KCNK18
10	+	119000583	SLC18A2
10	-	119134937	PDZD8
10	+	119301955	EMX2
10	-	119304579	EMX2OS
10	-	11936709	PROSER2-AS1
10	-	119806114	RAB11FIP2
10	+	119806331	CASC2
10	-	120101839	FAM204A
10	+	120116619	LINC00867
10	-	120355160	PRLHR
10	-	120514758	CACUL1
10	+	1205707	LINC00200
10	+	120789227	NANOS1
10	-	120819650	SNORA19
10	-	120840334	EIF3A
10	-	12084840	UPF2
10	-	12085169	UPF2
10	+	120863610	FAM45A
10	+	120863628	FAM45B
10	-	120925204	SFXN4
10	-	120938377	PRDX3
10	+	120967196	GRK5
10	+	12110915	DHTKD1
10	+	121137483	MIR4681
10	-	121296045	RGS10
10	-	121302222	RGS10
10	-	121356541	TIAL1
10	+	121410881	BAG3
10	+	121485558	INPP5F
10	+	121578768	INPP5F
10	-	121632395	MCMBP
10	-	121633140	MCMBP
10	+	121652084	SEC23IP
10	+	12171639	SEC61A2
10	+	121718024	MIR4682
10	+	122216465	PPAPDC1A
10	+	122344590	MIR5694
10	+	122357460	C10orf85
10	+	12237960	CDC123
10	-	12238143	NUDT5
10	+	122610686	WDR11
10	-	122610691	WDR11-AS1
10	-	123353481	FGFR2
10	-	123353772	FGFR2
10	-	123356159	FGFR2
10	-	123357972	FGFR2
10	-	123687578	ATE1
10	-	123688316	ATE1
10	-	123734743	NSMCE4A
10	+	123748688	TACC2
10	+	12391582	CAMK1D
10	+	123923104	TACC2
10	+	124030820	BTBD16
10	+	124134093	PLEKHA1
10	+	124145584	PLEKHA1
10	+	124151818	PLEKHA1
10	+	124176480	MIR3941
10	+	124214178	ARMS2
10	+	124221040	HTRA1
10	+	124320180	DMBT1
10	-	124459338	C10orf120
10	+	124516209	DMBT1P1
10	-	124605691	CUZD1
10	+	124639148	LOC399815
10	-	124639157	FAM24B
10	-	124639157	FAM24B-CUZD1
10	+	124670216	FAM24A
10	-	124713919	C10orf88
10	+	124739555	PSTK
10	-	124768203	IKZF5
10	-	124768366	IKZF5
10	+	124768428	ACADSB
10	+	124895566	HMX3
10	+	124907637	HMX2
10	+	124913759	BUB3
10	+	125425870	GPR26
10	-	125651500	CPXM2
10	-	125851940	CHST15
10	-	125853123	CHST15
10	-	126107545	OAT
10	-	126138550	NKX1-2
10	+	126150340	LHPP
10	+	12620751	MIR4480
10	-	126432930	FAM53B
10	-	126480439	METTL10
10	+	126490353	FAM175B
10	+	126630691	ZRANB1
10	-	126716453	CTBP2
10	-	126721439	MIR4296
10	-	126847384	CTBP2
10	-	126849103	CTBP2
10	-	126849624	CTBP2
10	+	127262939	TEX36-AS1
10	-	127371713	TEX36
10	+	127371811	RP11-383C5.3
10	-	127408062	FLJ37035
10	+	127408083	EDRF1
10	-	127464390	MMP21
10	+	127508308	MIR4484
10	-	127511837	UROS
10	+	127512103	BCCIP
10	-	127569884	DHX32
10	+	127585107	FANK1
10	-	127661842	FANK1-AS1
10	-	128077127	ADAM12
10	-	128110448	LINC00601
10	-	128210010	C10orf90
10	+	128593977	DOCK1
10	+	12875132	LOC283070
10	-	128994422	FAM196A
10	+	129347612	NPS
10	+	129535537	FOXI2
10	-	129691211	CLRN3
10	+	129705324	PTPRE
10	+	129845812	PTPRE
10	-	129924468	MKI67
10	-	13043704	CCDC3
10	+	131265453	MGMT
10	-	13141773	CCDC3
10	+	13142081	OPTN
10	-	131641638	MIR4297
10	-	131762091	EBF3
10	+	131904272	CTAGE7P
10	-	131909081	LINC00959
10	+	131934638	GLRX3
10	+	13203553	MCM10
10	-	132760931	MIR378C
10	-	13276328	UCMA
10	-	133109984	TCERG1L
10	-	13341746	PHYH
10	-	13342130	PHYH
10	-	133622535	LINC01164
10	+	133747954	PPP2R2D
10	+	133747959	PPP2R2D
10	-	133795435	BNIP3
10	-	13390298	SEPHS1
10	+	133918312	JAKMIP3
10	+	134000413	DPYSL4
10	-	134121477	STK32C
10	+	134145613	LRRC27
10	+	134145740	LRRC27
10	+	134150610	LRRC27
10	+	134210701	PWWP2B
10	+	134258713	C10orf91
10	+	134351352	INPP5A
10	-	134599537	NKX6-2
10	-	134756089	TTC40
10	+	134779037	LINC01168
10	-	134900201	LOC100128127
10	+	134901507	GPR123
10	+	134915749	GPR123
10	+	134973970	KNDC1
10	+	135043777	UTF1
10	+	135051407	VENTX
10	-	135061124	MIR202
10	-	135061389	MIR202HG
10	-	135090407	ADAM8
10	+	135122422	ZNF511
10	-	135122660	TUBGCP2
10	-	135125841	TUBGCP2
10	-	135150475	CALY
10	+	135160843	PRAP1
10	-	135171529	FUOM
10	-	135185167	MIR3944
10	-	135186908	ECHS1
10	+	135192740	PAOX
10	+	135207620	MTG1
10	-	135238121	SPRN
10	+	135267431	SCART1
10	+	135340866	CYP2E1
10	-	135379138	SYCE1
10	-	135382876	SYCE1
10	-	135383462	SPRNP1
10	-	135440299	FRG2B
10	-	13544976	BEND7
10	+	135480557	DUX2
10	+	135480557	DUX4
10	+	135480557	DUX4L2
10	+	135480557	DUX4L3
10	+	135480557	DUX4L5
10	+	135480557	DUX4L6
10	+	135480557	DUX4L7
10	+	135480557	LOC100653046
10	+	135487176	DUX4
10	+	135487176	DUX4L2
10	+	135487176	DUX4L3
10	+	135487176	DUX4L5
10	+	135487176	DUX4L6
10	+	135487176	DUX4L7
10	+	135487176	LOC100653046
10	+	135493785	DUX2
10	+	135493785	DUX4
10	+	135493785	DUX4L2
10	+	135493785	DUX4L3
10	+	135493785	DUX4L5
10	+	135493785	DUX4L6
10	+	135493785	DUX4L7
10	+	135493785	LOC100653046
10	+	13628938	PRPF18
10	-	14372866	FRMD4A
10	+	14478574	MIR1265
10	-	14614188	FAM107B
10	-	14614372	FAM107B
10	-	14646417	FAM107B
10	-	14816896	FAM107B
10	-	14879983	CDNF
10	+	14880158	HSPA14
10	+	14920781	SUV39H2
10	+	14920864	SUV39H2
10	+	14920898	SUV39H2
10	-	14996431	DCLRE1C
10	+	15001437	MEIG1
10	+	15085894	OLAH
10	-	15130775	ACBD7
10	+	15139178	RPP38
10	-	15139318	C10orf111
10	-	15197346	PPIAP30
10	-	15210695	NMT2
10	-	15413058	FAM171A1
10	+	1568824	ADARB2-AS1
10	-	15761770	ITGA8
10	-	15902519	FAM188A
10	+	16478941	PTER
10	-	16564004	C1QL3
10	-	16859453	RSU1
10	-	17171816	CUBN
10	-	17244070	TRDMT1
10	-	17268897	VIM-AS1
10	+	17270257	VIM
10	-	17271984	VIM-AS1
10	+	17428934	ST8SIA6-AS1
10	-	17496254	ST8SIA6
10	-	17659373	PTPLA
10	-	17685917	STAM-AS1
10	+	17686123	STAM
10	+	17794259	TMEM236
10	-	1779670	ADARB2
10	+	17851341	MRC1
10	+	17887106	MIR511-1
10	+	180404	ZMYND11
10	+	18041226	TMEM236
10	+	180423	ZMYND11
10	+	18134035	MIR511-1
10	+	181423	ZMYND11
10	+	18240767	SLC39A12
10	-	18299491	RP11-110H10.2
10	+	18429605	CACNB2
10	+	18429741	CACNB2
10	+	18549583	CACNB2
10	+	18629613	CACNB2
10	+	18689512	CACNB2
10	-	18940550	NSUN6
10	+	18948312	ARL5B
10	+	19337699	MALRD1
10	+	20105371	PLXDC2
10	-	2056542	LINC00700
10	+	20840898	MIR4675
10	-	2118283	MIR6072
10	-	21186531	NEBL
10	-	21435488	C10orf113
10	+	21462918	NEBL-AS1
10	-	21463116	NEBL
10	+	21463230	NEBL-AS1
10	-	21785570	MIR1915
10	-	21786213	CASC10
10	-	21814611	SKIDA1
10	+	21823100	MLLT10
10	+	21823573	MLLT10
10	-	22292650	DNAJC1
10	-	22498912	EBLN1
10	+	22541000	LOC100130992
10	+	225933	ZMYND11
10	+	22605311	COMMD3
10	+	22605311	COMMD3-BMI1
10	+	22610138	BMI1
10	+	22634373	SPAG6
10	-	22726858	LOC100499489
10	-	23003503	PIP4K2A
10	+	23216952	ARMC3
10	+	23384426	MSRB2
10	+	23481459	PTF1A
10	-	23528721	C10orf115
10	-	2357268	LINC00701
10	-	23633772	C10orf67
10	+	23728197	OTUD1
10	+	23983674	KIAA1217
10	+	24497719	KIAA1217
10	+	24564613	MIR603
10	+	24738361	KIAA1217
10	+	24755433	KIAA1217
10	-	25012597	ARHGAP21
10	-	25241573	PRTFDC1
10	-	25305085	ENKUR
10	+	25305507	THNSL1
10	-	25351208	ENKUR
10	+	25464289	GPR158
10	-	25465205	GPR158-AS1
10	+	25940640	LINC00836
10	+	26223001	MYO3A
10	+	26505235	GAD2
10	+	26727265	APBB1IP
10	+	26878793	LINC00264
10	+	26932036	LINC00202-2
10	+	26986594	PDSS1
10	-	27150016	ABI1
10	-	27230930	LINC00202-1
10	-	27389427	ANKRD26
10	-	27443349	YME1L1
10	+	27443752	MASTL
10	-	27529808	ACBD5
10	-	27531068	ACBD5
10	-	27541235	LRRC37A6P
10	-	27703297	PTCHD3
10	+	27793102	RAB18
10	-	28034778	MKX
10	-	28270846	ARMC4
10	-	28287835	ARMC4
10	-	28287984	ARMC4
10	-	28571067	MPP7
10	-	28578279	MIR8086
10	-	28821283	WAC-AS1
10	+	28821421	WAC
10	+	28822420	WAC
10	+	28835324	MIR5586
10	+	28966423	BAMBI
10	-	29084979	LINC00837
10	+	29135336	C10orf126
10	+	29577989	LYZL1
10	+	29698462	LOC102724316
10	+	29699171	LOC102724316
10	-	29834026	MIR604
10	-	29891275	MIR938
10	-	29923901	SVIL
10	-	30024730	SVIL
10	-	30348488	KIAA1462
10	-	30638267	MTPAP
10	-	30657594	MIR7162
10	+	30722949	MAP3K8
10	-	30918647	LYZL2
10	+	30981202	SVILP1
10	+	3109711	PFKP
10	+	3110818	PFKP
10	-	31288446	ZNF438
10	-	31320866	ZNF438
10	-	31608024	ZEB1-AS1
10	+	31608100	ZEB1
10	+	31610063	ZEB1
10	+	3183792	PITRM1-AS1
10	-	3215033	PITRM1
10	-	32197854	ARHGAP12
10	-	32217804	ARHGAP12
10	-	32345371	KIF5B
10	-	32635976	EPC1
10	-	32636146	EPC1
10	+	32636291	LOC102031319
10	-	32667726	EPC1
10	+	32735009	CCDC7
10	+	32856650	CCDC7
10	-	33224486	ITGB1
10	-	33246822	ITGB1
10	-	33247293	ITGB1
10	-	33623833	NRP1
10	-	34061608	LINC00838
10	-	35104253	PARD3
10	+	35104695	PARD3-AS1
10	-	35363258	CUL2
10	-	35379311	CUL2
10	-	35379570	CUL2
10	+	35415768	CREM
10	+	35416384	CREM
10	+	35426709	CREM
10	+	35456466	CREM
10	+	35464514	CREM
10	+	35484054	CREM
10	+	35484829	CREM
10	+	35535908	CCNY
10	+	35625801	CCNY
10	+	35894337	GJD4
10	-	35930180	MIR4683
10	-	35930362	FZD8
10	+	36067229	PCAT5
10	+	37414784	ANKRD30A
10	+	37598113	LINC00993
10	-	37891859	MTRNR2L7
10	-	38084103	ZNF33BP1
10	-	38146564	ZNF248
10	-	38147012	ZNF248
10	-	38265453	ZNF25
10	-	3827473	KLF6
10	+	38299577	ZNF33A
10	+	38383263	ZNF37A
10	+	38464598	LOC100129055
10	+	38645307	HSD17B7P2
10	-	38691780	SEPT7P9
10	+	38717073	LINC00999
10	+	38989726	ACTR3BP5
10	+	4033351	MIR6078
10	-	4286104	LINC00702
10	-	42863493	LOC441666
10	-	42967688	CCNYL2
10	+	42970938	LINC00839
10	-	43048318	ZNF37BP
10	-	43133992	ZNF33B
10	+	43277953	BMS1
10	+	43493010	MIR5100
10	+	43572516	RET
10	+	43633892	CSGALNACT2
10	-	43725187	RASGEF1A
10	-	43762367	RASGEF1A
10	+	43867091	FXYD4
10	-	43892279	HNRNPF
10	-	43892794	HNRNPF
10	-	43903299	HNRNPF
10	-	43904332	HNRNPF
10	-	43904656	HNRNPF
10	-	43904696	HNRNPF
10	+	43932573	ZNF487
10	-	44063907	ZNF239
10	-	44070065	ZNF239
10	-	44070066	ZNF239
10	+	44101854	ZNF485
10	+	44124264	ZNF32-AS3
10	+	44139319	ZNF32-AS1
10	+	44141389	ZNF32-AS2
10	-	44144152	ZNF32
10	-	44144326	ZNF32
10	+	4426437	LINC00703
10	-	44285865	HNRNPA3P1
10	+	44340753	LINC00619
10	+	44354858	LINC00840
10	+	44404751	LINC00841
10	+	4448660	LINC00703
10	+	44788197	LOC100130539
10	-	44880545	CXCL12
10	+	45406763	TMEM72
10	-	45455137	TMEM72-AS1
10	+	45455218	RASSF4
10	-	45474330	C10orf10
10	+	45496272	ZNF22
10	-	45496470	C10orf25
10	-	45650044	RSU1P2
10	+	45650109	ANKRD30BP3
10	+	45659461	MIR3156-1
10	-	45811056	OR13A1
10	+	45869623	ALOX5
10	-	46030842	MARCH8
10	-	46090354	MARCH8
10	-	46168180	ZFAND4
10	-	46168261	ZFAND4
10	+	46222647	FAM21C
10	-	46342921	AGAP4
10	-	46620058	PTPN20A
10	-	46620058	PTPN20B
10	-	46640660	PTPN20A
10	-	46640660	PTPN20B
10	-	46641003	PTPN20A
10	-	46641003	PTPN20B
10	-	46762892	BMS1P1
10	-	46762892	BMS1P5
10	+	46764667	GLUD1P7
10	+	46897640	FAM35BP
10	-	46970601	SYT15
10	+	4698347	LINC00705
10	+	46993545	GPRIN2
10	+	47083533	NPY4R
10	+	47086724	LOC100996758
10	-	47133836	HNRNPA1P33
10	-	47151400	LINC00842
10	-	47174143	ANXA8
10	-	47181688	FAM25C
10	-	47181688	FAM25G
10	-	4720262	LINC00704
10	-	47213626	AGAP9
10	-	47243511	BMS1P2
10	-	47243511	BMS1P6
10	+	47379719	FAM35DP
10	-	47640844	ANTXRLP1
10	+	47658232	ANTXRL
10	+	47740303	FAM25B
10	+	47746849	ANXA8L1
10	+	47746919	ANXA8L2
10	+	47894022	FAM21B
10	+	48155942	CTSLP2
10	+	48185838	BMS1P2
10	+	48185838	BMS1P6
10	+	48215723	AGAP9
10	+	48247661	FAM25C
10	+	48247661	FAM25G
10	+	48255203	ANXA8
10	+	48355088	ZNF488
10	-	48390991	RBP3
10	-	48416872	GDF2
10	-	48439138	GDF10
10	+	4868368	AKR1E2
10	-	48806985	PTPN20A
10	-	48806985	PTPN20B
10	-	48827581	PTPN20A
10	-	48827581	PTPN20B
10	-	48827924	PTPN20A
10	-	48827924	PTPN20B
10	-	48862688	FRMPD2P1
10	-	48952629	BMS1P1
10	-	48952629	BMS1P5
10	+	48954404	GLUD1P7
10	-	49207825	FAM25C
10	-	49207825	FAM25G
10	-	49239658	CTGLF12P
10	-	49383186	FRMPD2
10	-	49383240	FRMPD2P1
10	-	49482941	FRMPD2
10	+	49514681	MAPK8
10	-	4958465	AKR1C6P
10	+	49609654	MAPK8
10	-	49701692	ARHGAP22
10	-	49813176	ARHGAP22
10	-	49860561	ARHGAP22
10	-	49864310	ARHGAP22
10	+	49893517	WDFY4
10	+	5005453	AKR1C1
10	-	50122280	LRRC18
10	-	50193632	MIR4294
10	-	50323577	VSTM4
10	+	50329883	FAM170B-AS1
10	-	50342065	FAM170B
10	-	50396445	C10orf128
10	-	5046206	AKR1C2
10	-	50506938	C10orf71-AS1
10	+	50507186	C10orf71
10	-	5060225	AKR1C2
10	-	50604062	DRGX
10	-	50732327	PGBD3
10	-	50747169	ERCC6
10	-	50747169	ERCC6-PGBD3
10	-	50747584	ERCC6-PGBD3
10	+	50817140	CHAT
10	+	50818346	SLC18A3
10	+	50821153	CHAT
10	+	50822082	CHAT
10	+	50887683	C10orf53
10	+	5090957	AKR1C3
10	-	50970425	OGDHL
10	-	51246409	AGAP8
10	+	5136567	AKR1C3
10	-	51371316	LOC728407
10	-	51371331	PARG
10	+	51371378	TIMM23B
10	-	51486327	AGAP7
10	+	51549552	MSMB
10	+	51565107	NCOA4
10	+	51572363	NCOA4
10	+	51576284	NCOA4
10	-	51623386	TIMM23
10	+	51748077	AGAP6
10	-	51827563	FLJ31813
10	+	51827683	FAM21A
10	+	51837885	FAM21B
10	-	52008370	ASAH2
10	-	5227150	AKR1CL1
10	-	52383737	SGMS1
10	+	5238797	AKR1C4
10	+	52499687	ASAH2B
10	-	52645435	A1CF
10	+	52750910	PRKG1
10	+	52834233	PRKG1
10	+	53059332	MIR605
10	-	53459355	CSTF2T
10	+	5406975	UCN3
10	-	54073888	PRKG1-AS1
10	+	54074040	DKK1
10	-	5446793	TUBAL3
10	-	54531460	MBL2
10	+	5454513	NET1
10	+	5488513	NET1
10	-	5541533	CALML5
10	+	5566923	CALML3
10	-	56561051	PCDH15
10	-	5708558	ASB13
10	+	5726800	FAM208B
10	+	57358749	MTRNR2L5
10	-	58121034	ZWINT
10	-	5855512	GDI2
10	-	59064319	MIR3924
10	+	5931534	FBXO18
10	-	5931860	ANKRD16
10	+	5932165	FBXO18
10	+	5936348	FBXO18
10	-	60027694	IPMK
10	+	60028861	CISD1
10	+	60094738	UBE2D1
10	+	60144902	TFAM
10	-	6019574	IL15RA
10	-	6020150	IL15RA
10	+	60272903	BICC1
10	+	60474774	FAM133CP
10	+	60759277	LINC00844
10	+	60936347	PHYHIPL
10	+	60937226	PHYHIPL
10	-	6104333	IL2RA
10	-	61122352	FAM13C
10	-	61122661	FAM13C
10	+	6130948	RBM17
10	+	6131308	RBM17
10	-	61469649	SLC16A9
10	-	61513203	LINC00948
10	-	61666414	CCDC6
10	-	61720671	C10orf40
10	+	6186842	PFKFB3
10	+	6188278	PFKFB3
10	-	61900774	ANK3
10	+	6194158	MIR3155A
10	-	6194225	MIR3155B
10	-	62149634	ANK3
10	-	62332714	ANK3
10	+	6244839	PFKFB3
10	-	62493284	ANK3
10	+	62538088	CDK1
10	+	62538211	CDK1
10	-	62704033	RHOBTB1
10	-	62760736	RHOBTB1
10	-	62761198	RHOBTB1
10	+	62776032	LINC00845
10	-	63213208	TMEM26
10	+	63422718	C10orf107
10	+	63661012	ARID5B
10	+	6368506	LOC399715
10	+	63736060	MIR548AV
10	+	63808969	ARID5B
10	-	64028622	RTKN2
10	+	64133915	ZNF365
10	-	64134886	LOC283045
10	+	64280206	ZNF365
10	+	64564515	ADO
10	-	64576126	EGR2
10	-	64578927	EGR2
10	+	64893006	NRBF2
10	-	65028983	JMJD1C
10	-	65132808	MIR1296
10	+	65224988	JMJD1C-AS1
10	-	65225761	JMJD1C
10	+	65281122	REEP3
10	-	6622263	PRKCQ
10	+	6622386	PRKCQ-AS1
10	+	66585284	ANXA2P3
10	-	6821142	LINC00706
10	+	6821559	LINC00707
10	+	68685791	LRRTM3
10	-	687718	MIR5699
10	-	68771911	LOC101928961
10	+	68772023	LRRTM3
10	-	69425443	CTNNA3
10	-	69455949	CTNNA3
10	+	695887	PRR26
10	-	69597937	DNAJC12
10	+	696016	PRR26
10	+	69644426	SIRT1
10	+	69644938	SIRT1
10	-	69835103	HERC4
10	+	69865873	MYPN
10	+	69869189	MYPN
10	-	69991870	ATOH7
10	+	70091767	HNRNPH3
10	-	70092684	PBLD
10	-	70166946	RUFY2
10	-	70167051	RUFY2
10	-	70231730	DNA2
10	-	70231878	DNA2
10	-	70287280	SLC25A16
10	+	70320116	TET1
10	+	70480900	CCAR1
10	+	70514928	SNORD98
10	+	70587293	STOX1
10	+	70587562	STOX1
10	+	70661033	DDX50
10	+	70715878	DDX21
10	+	70716195	DDX21
10	+	70748476	KIAA1279
10	+	70847827	SRGN
10	+	70883907	VPS26A
10	+	70939992	SUPV3L1
10	+	70980058	HKDC1
10	+	71029755	HK1
10	+	71075609	HK1
10	+	71078602	HK1
10	-	71176674	TACR2
10	+	71211225	TSPAN15
10	-	71333210	NEUROG3
10	+	71390002	C10orf35
10	+	71561643	COL13A1
10	+	71812356	H2AFY2
10	-	71892690	AIFM2
10	-	71904484	TYSND1
10	-	71906496	TYSND1
10	-	71930285	SAR1A
10	-	71993190	PPA1
10	-	72043450	NPFFR1
10	-	72136535	LRRC20
10	-	72141670	LRRC20
10	-	72142406	LRRC20
10	+	72163860	EIF4EBP2
10	-	72201465	NODAL
10	+	72238563	PALD1
10	-	72362531	PRF1
10	+	72432558	ADAMTS14
10	-	72545157	TBATA
10	+	72575703	SGPL1
10	-	72648011	PCBD1
10	-	72648543	PCBD1
10	+	72972291	UNC5B
10	-	72977985	UNC5B-AS1
10	+	73079009	SLC29A3
10	+	73156690	CDH23
10	-	73479578	C10orf105
10	-	73497581	C10orf105
10	-	73533337	C10orf54
10	+	73550503	MIR7152
10	+	73555527	CDH23
10	-	735608	DIP2C
10	+	73571639	CDH23
10	-	73611082	PSAP
10	+	73724119	CHST3
10	-	73848531	SPOCK2
10	-	73848790	SPOCK2
10	+	73975757	ANAPC16
10	-	73975867	ASCC1
10	-	73976199	ASCC1
10	-	73976892	ASCC1
10	+	74033676	DDIT4
10	-	74114907	DNAJB12
10	-	74283744	MICU1
10	-	74336541	MIR1256
10	-	74385949	MICU1
10	+	74451888	MCU
10	+	74452376	MCU
10	+	74480786	MIR4676
10	-	7451303	SFMBT2
10	-	7453448	SFMBT2
10	+	74653338	OIT3
10	-	74714510	PLA2G12B
10	-	74856732	P4HA1
10	+	74870132	NUDT13
10	-	74927853	ECD
10	+	74927876	FAM149B1
10	-	75007025	DNAJC9
10	+	75007124	DNAJC9-AS1
10	-	75012451	MRPS16
10	-	75118617	TTC18
10	-	75173841	ANXA7
10	-	75193319	MSS51
10	-	75255782	PPP3CB
10	-	75335433	USP54
10	-	75401515	MYOZ1
10	-	75410797	SYNPO2L
10	-	75415863	SYNPO2L
10	-	75457554	AGAP5
10	-	75490272	BMS1P4
10	+	75491298	GLUD1P3
10	+	75504130	SEC24C
10	+	75532048	FUT11
10	+	75541807	CHCHD1
10	+	75545381	ZSWIM8
10	-	75561157	ZSWIM8-AS1
